Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
SDGR,"Schrodinger, Inc.",30.24,USD,147.2608340147179,74.69670710571924,26.36857501044713,5.389503023431604,8904235,1510305.8666666667,6.231960406539298,2262122180.5599666,USD,7.54213919173104,8.87620472685854,Technology services,2026-11-11
FLNC,"Fluence Energy, Inc.",7.66,USD,-51.94479297365119,-36.43153526970955,-15.359116022099453,6.785714285714326,33649873,7561536.4,5.455220407056303,1414008227.633149,USD,7.852681927794826,7.4630668489931145,Producer manufacturing,2026-11-30
DCX,Digital Currency X Technology Inc.,0.4401,USD,-78.84134615384616,-52.16304347826087,37.53124999999999,27.393871522550484,84133353,5464713.433333334,10.717195898151335,154729700.600625,USD,,,Consumer durables,
