Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
MXL,"MaxLinear, Inc",74.99,USD,337.514585764294,-5.18396763181187,7.883757732700316,5.563979959232656,2584895,2280851.1333333333,1.0619838384555491,6801082070.07524,USD,55.17171661474273,50.50460960543893,Electronic technology,2026-10-28
DELL,Dell Technologies Inc.,588.67,USD,260.04281345565744,26.058931860036818,4.505672033943439,5.553937568708156,8370535,8417696.899999999,0.6218135485329371,374283882253.51337,USD,56.71955904459662,48.85672082717873,Electronic technology,2026-12-01
APPS,"Digital Turbine, Inc.",10.96,USD,238.27160493827162,-8.207705192629804,1.1070110701107103,6.287408759124134,2467719,2919616,0.9890368729922431,1326338125.2767527,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
BAND,Bandwidth Inc.,50.51,USD,227.13730569948189,-2.207163601161666,3.2291027999182473,8.272053624459069,505242,827873.1,0.5514572016593858,1625451574.1733086,USD,22.156177609394877,9.251740521774,Technology services,2026-10-29
HPE,Hewlett Packard Enterprise Company,61.06,USD,172.22469906375392,9.308986752595779,7.727593507410026,5.773946001591074,19705073,22466703.200000025,0.550179444807533,81054996342.26889,USD,32.37339708758966,26.63381899522399,Electronic technology,2026-12-03
AMD,"Advanced Micro Devices, Inc.",545.09,USD,166.04680674524738,11.799573385839697,6.359024390243909,3.189806139484145,28121593,19304655.266666666,1.4340597182277157,889845784442.3589,USD,50.11060507482108,39.54391891891892,Electronic technology,2026-11-03
OSCR,"Oscar Health, Inc.",31.98,USD,141.35849056603774,2.2705468500159927,-1.1131725417439795,5.637206289645282,5510017,5656538.433333334,1.1028858630944964,8745538473.647493,USD,70.40201540183209,42.81608289889565,Health services,2026-11-10
ENGS,Energys Group Limited,2.67,USD,140.5405405405405,-6.315789473684215,-2.9090909090909114,3.999464954521175,735125,1270674.3333333333,0.5144858067354406,118885858.88727272,USD,,-33.561947226961195,Electronic technology,
XMTR,"Xometry, Inc.",95.26,USD,139.16645744413762,7.955575702629205,2.2651637144390757,4.297196694760262,767254,549331.8,1.2230652078060247,5460643728.678045,USD,41.054587288599606,33.74988820097985,Technology services,2026-11-05
CLOV,"Clover Health Investments, Corp.",4.54,USD,137.69633507853405,7.075471698113203,-0.4385964912280609,4.823631214600281,3686031,4405909.166666667,0.8018526861512765,2411453663.109649,USD,55.60415493267392,54.03893900418447,Finance,2026-11-09
INTC,Intel Corporation,108.8,USD,131.73588924387644,9.655311429147346,7.669470559129145,3.9660648634454043,145166479,99334123.83333333,1.5097127155119854,575128292369.0371,USD,25.421883505715844,7.465611456566798,Electronic technology,2026-10-22
SMTC,Semtech Corporation,178.1734,USD,127.84322250639383,22.136961886482034,6.34043569083854,5.672612025299898,4414222,3203909.1333333333,1.4904915372937917,16628143780.715305,USD,32.719564888252215,17.841509161302753,Electronic technology,2026-12-02
TH,Target Hospitality Corp.,20.76,USD,127.13347921225382,16.107382550335583,10.660980810234541,4.162744288466848,2529339,1782989.2333333334,0.9883885575966707,2068182238.816631,USD,38.712138428075185,11.916283805117565,Consumer services,2026-11-11
PYXS,"Pyxis Oncology, Inc.",3.41,USD,121.42857142857143,12.541254125412554,2.0958083832335417,9.587767071638007,473667,1341366.2666666666,0.3589288580265858,284421445.39520955,USD,-100,291.4184397163121,Health technology,2026-11-17
MU,"Micron Technology, Inc.",977.5,USD,120.19981302726873,2.1314387211367647,5.49889374561546,3.58628279137743,21480545,27071790.366666667,0.8695128955286685,1103981707867.282,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
RXT,"Rackspace Technology, Inc.",3.92,USD,118.99441340782123,3.2938076416337285,12.643678160919539,6.748724489795791,8907308,7511647.1,1.1740130913947406,999101572.0000001,USD,0.570313672519886,0.33790056069213914,Technology services,2026-11-11
HNGE,"Hinge Health, Inc.",94.72,USD,113.76664409839765,8.736080817357365,1.0562253280699827,4.583577159749078,1910094,1814501.7333333334,1.0435666544304028,7643375669.969486,USD,52.99788638226286,49.76497210863696,Technology services,2026-11-03
RBRK,"Rubrik, Inc.",107.83,USD,111.88838671644724,8.30654881478505,2.714802819584677,5.546190432029072,3915181,3737579,1.2131551373970242,22353637587.297962,USD,37.88807848705867,42.448820868652774,Technology services,2026-12-03
