Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
VKTX,"Viking Therapeutics, Inc.",40.85,USD,25.402916346891782,17.41879850531763,35.66921288608437,4.258506731946126,41010419,3323842.6,16.182012517513073,4765272648.654932,USD,,,Health technology,2026-10-28
RSKD,Riskified Ltd.,7.01,USD,76.13065326633166,16.83333333333333,10.393700787401578,4.437436315467653,5268858,2062643.6333333333,5.614756177250769,925584464.6692914,USD,21.75055514415132,9.625549021055967,Technology services,2026-11-18
INOD,Innodata Inc.,69.97,USD,64.63529411764706,9.791307076729959,14.610974610974614,4.474662610506642,5342275,1220823.0666666667,5.199529205017141,2405754150.5834565,USD,57.796311201685135,39.02104400348907,Technology services,2026-11-05
MAZE,"Maze Therapeutics, Inc.",28.38,USD,-8.775313404050147,-2.0703933747412058,26.753014738722637,5.656624383368436,3566505,580762.0333333333,5.2541361624456115,1576485333.944618,USD,,700,Health technology,2026-11-05
