Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
MXL,"MaxLinear, Inc",87.43,USD,400.1716247139588,29.949464922711066,1.6864387066759745,5.5445744350582515,3542794,2466932.5,1.1871964459913338,7929305377.786463,USD,55.17171661474273,50.50460960543893,Electronic technology,2026-10-28
APPS,"Digital Turbine, Inc.",12.19,USD,317.4657534246575,13.818860877684394,1.1618257261410687,6.279971873901415,2339420,2705471.566666667,0.8630558230831112,1475188118.3543565,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
BAND,Bandwidth Inc.,58.4,USD,245.7667258732978,19.549641760491294,7.5308414656600915,7.618028375733848,1833204,836092.6666666666,1.8434734374781594,1879358023.2001472,USD,22.156177609394877,9.251740521774,Technology services,2026-10-29
OTLK,"Outlook Therapeutics, Inc.",0.6962,USD,233.11004784688998,3.0034028702470925,1.4425178493370276,6.130730085771697,2850147,16246130.233333332,0.7140118985824714,169488172.57817283,USD,,,Health technology,2026-12-18
ALAB,"Astera Labs, Inc.",363.46,USD,210.19885636255012,23.710006807351927,6.667840582262126,5.533373686237844,5443051,3827178.533333333,1.2122480853263211,63054895336.67646,USD,104.45486518171161,98.48418542512663,Electronic technology,2026-11-10
PENG,"Penguin Solutions, Inc.",56.58,USD,208.84279475982532,9.206716850028943,3.041340375159355,4.092675352219369,1635262,1468244.4333333333,1.220929455545988,2899311882.5365143,USD,47.636553164052984,11.973368504204736,Electronic technology,2026-10-06
MU,"Micron Technology, Inc.",1096.16,USD,196.24344630020005,10.759592795614735,5.000191578221392,3.3656322330420916,28809349,26912736.633333333,1.1421129930165923,1237995457349.4985,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
SNDK,Sandisk Corporation,1887.04,USD,188.5382262996942,17.58687192524948,6.815197210523924,4.981843446425561,12817675,12239387.1,1.28854592159145,276298524029.4422,USD,371.5938979484482,175.29571719918422,Electronic technology,2026-11-05
AMD,"Advanced Micro Devices, Inc.",623.77,USD,186.16059345166272,30.907984344012,1.3403301273719783,3.202187619520895,28066564,20431985.9,1.103081348229,1018288947832.9395,USD,50.11060507482108,39.54391891891892,Electronic technology,2026-11-03
AEHR,Aehr Test Systems,100.6,USD,170.0671140939597,-7.2811059907834155,3.786237490972854,6.833339250213008,1876864,2723440.033333333,0.6529722514347296,3285550327.8283296,USD,33.685854212506214,-15.206552706552706,Electronic technology,2026-10-06
MRVL,"Marvell Technology, Inc.",262.36,USD,167.8236014699878,3.9502357462657107,1.934882275235068,4.009997168557882,19740943,22681208.266666666,1.026770262941327,230063494769.42032,USD,36.54852699267235,30.621017567623603,Electronic technology,2026-11-26
INTC,Intel Corporation,123.86,USD,167.54509126255533,33.59939596591523,1.707998029233042,3.869178334986528,107752052,106765559.46666667,0.8698285901198718,654737016796.7935,USD,25.421883505715844,7.465611456566798,Electronic technology,2026-10-22
SIMO,Silicon Motion Technology Corporation,283.26,USD,162.27777777777777,11.20882572337167,5.301115241635684,5.815230328522015,1228281,964564.6333333333,1.4143139118457617,9121184750,USD,122.89450360168794,69.55933666350374,Electronic technology,2026-11-04
CLOV,"Clover Health Investments, Corp.",4.67,USD,159.44444444444443,12.801932367149766,2.8634361233480154,4.719944937289585,4491840,4030005.6333333333,0.8922065819422913,2480504108.5704846,USD,55.60415493267392,54.03893900418447,Finance,2026-11-09
SHAZ,"SharonAI Holdings, Inc.",63.21,USD,158.10534912209067,2.847380410022779,5.473051893876191,6.824903383280234,1267994,1675569,0.7791842762327024,2263139553.5286164,USD,494.1029001021249,,Technology services,2026-11-04
OSCR,"Oscar Health, Inc.",30.67,USD,154.52282157676348,-2.4180719058224565,-1.981463726430161,6.194955517257401,8241038,5422588.9,1.365025430334664,8387294295.67242,USD,70.40201540183209,42.81608289889565,Health services,2026-11-10
ENGS,Energys Group Limited,2.85,USD,154.4642857142857,-1.7241379310344767,0.7067137809187285,4.260651629072728,304084,1366178.1333333333,0.16985627090847444,126900632.75618377,USD,,-33.561947226961195,Electronic technology,
PANW,"Palo Alto Networks, Inc.",374.57,USD,146.0391487125591,6.291146424517599,0.7558639982784598,4.627298349726714,7926430,6484284.766666675,1.146504524679238,306398268048.3784,USD,34.447817687182116,24.491677059046793,Technology services,2026-11-12
