Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
XHLD,"TEN Holdings, Inc.",12.53,USD,952.9411764705883,735.3333333333334,217.21518987341764,15.590405904059038,9.534602667882785,3814505,7403896.933333334,1.0587582437731524,150077371.05442804,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
SWVL,Swvl Holdings Corp,7.115,USD,387.32876712328766,339.1975308641975,384.01360544217687,-10.390428211586904,13.893785764481482,678420,2988304.9,0.6017998109495951,70896308.13350126,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
CYPH,Cypherpunk Technologies Inc.,2.265,USD,234.21868083222668,268.11311555338864,227.21756717711642,2.954545454545452,16.113528855250724,11503651,9108813.366666667,0.7946324513782989,244086328.93636364,USD,,,Health technology,Biotechnology,2026-11-16
MRNA,"Moderna, Inc.",143.97,USD,188.05522208883554,165.0893021542994,137.65269065698251,5.379885814668419,7.805306661109918,15409196,24874691.166666668,0.9234400010326768,57477986201.26064,USD,2.112676056338028,-27.61533463287849,Health technology,Biotechnology,2026-10-29
HOWL,"Werewolf Therapeutics, Inc.",0.982,USD,151.79487179487177,19.756097560975615,148.60759493670884,-0.657561962569556,7.223232470177382,549202,13739723.333333334,0.44394955225280136,47724284.06272129,USD,,,Health technology,Pharmaceuticals: major,2026-11-05
RCEL,"Avita Medical, Inc.",9.88,USD,148.24120603015075,114.3167028199566,22.885572139303505,0.2028397565923058,5.644230769230847,225235,607081.4333333333,0.8467207451187669,305557241.92697775,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
LIFE,Ethos Technologies Inc.,40.25,USD,135.1051401869159,213.717848791894,20.149253731343283,3.6036036036036,6.567843833185442,995604,1609450.3,0.8385607000622938,2566291830.54054,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
TXG,"10x Genomics, Inc.",68.59,USD,132.5873177348254,261.5709014233,17.027810953762163,3.329316059053944,5.143617353633431,1829696,2962306.533333333,0.7904552780922964,8936670811.33429,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
BNC,CEA Industries Inc.,4.8,USD,126.41509433962264,42.01183431952663,95.91836734693875,-3.8076152304609296,8.561309523809541,2372912,2962863.8666666667,0.2883604533860375,197634475.6713427,USD,1661.07601683567,946.457318965425,Producer manufacturing,Trucks/Construction/Farm machinery,2026-12-30
TJGC,TJGC Group Limited,11.19,USD,120.7100591715976,358.06213926071473,191.40625,4.873477038425488,9.440827269245492,1794291,1663978.2,1.1100280709894448,113019261.13495784,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
NIQ,NIQ Global Intelligence plc,17.84,USD,118.62745098039215,50.93062605752961,8.121212121212121,1.0764872521246531,3.437099615630917,914397,1643984.2666666666,0.8222159079158323,5262012635.390369,USD,8.013066872195017,8.855045143817792,Technology services,Packaged software,2026-11-12
IOVA,"Iovance Biotherapeutics, Inc.",8.6,USD,117.72151898734175,104.76190476190474,32.51155624036979,5.65110565110564,4.8733388704317555,12388719,17016607.433333334,1.2244245474374216,3895554510.14742,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
CDNA,"CareDx, Inc.",50.26,USD,113.59966000849977,203.68580060422957,5.877396250263322,0.47980807676928205,4.8273264737650825,663051,1214720.5,0.5647192590226765,2600162042.493802,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
ARCT,Arcturus Therapeutics Holdings Inc.,14.73,USD,111.3342898134864,108.93617021276597,94.58388375165126,5.36480686695279,10.24895742411017,496635,1235037,0.4476253508262053,418671793.0729614,USD,-96.4096287229757,-82.94748729532144,Health technology,Pharmaceuticals: major,2026-11-11
NWGL,CL Workshop Group Limited,1.25,USD,106.27062706270628,10.619469026548684,303.2258064516129,-6.015037593984967,16.23599999999998,117094,2965927.2333333334,0.07126949588399092,38374708,USD,,-32.131740216615405,Non-energy minerals,Forest products,
RNXT,"RenovoRx, Inc.",1.76,USD,105.84795321637426,112.04819277108435,54.38596491228072,-0.56497175141243,15.545048701298692,1167878,1167385.8333333333,0.513898512658427,79427934.91525425,USD,115.40284360189574,198.48942598187313,Health technology,Pharmaceuticals: major,2026-11-16
NEOV,NeoVolta Inc.,3.68,USD,101.09289617486338,2.222222222222224,11.515151515151526,0.27247956403270385,8.530473602484378,593829,1822410.2333333334,0.2627483936207027,216616753.48228884,USD,0.47728395490803444,324.6728189181262,Producer manufacturing,Electrical products,2026-09-23
AVAH,Aveanna Healthcare Holdings Inc.,14.08,USD,100.85592011412268,100.28449502133712,58.20224719101123,1.587301587301592,3.757254464285706,2372382,3405967.3333333335,0.7764775146456343,3073532697.396826,USD,13.727349364688163,19.52305030325963,Health services,Medical/Nursing services,2026-11-05
TEAM,Atlassian Corporation,179.7,USD,100.31211682086725,145.92856165320927,18.58255246139633,0.07239516623043685,4.819822720407183,1791695,4817358.166666667,0.44617694495166693,45489047853.974495,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
CELU,Celularity Inc.,1.41,USD,96.89987431922917,12.799999999999994,101.42857142857143,-1.7421602787456538,25.72441742654511,97105,8171911.866666666,0.003994262592756573,40813803.010452956,USD,-77.36598279285242,-51.03282921431206,Commercial services,Miscellaneous commercial services,2026-11-13
PLSE,"Pulse Biosciences, Inc",53.11,USD,95.97785977859778,145.65217391304347,19.61711711711712,-2.425133198603712,7.655122790972976,664328,543535.2333333333,0.8554480005985179,3787943782.656072,USD,,,Health technology,Medical specialties,2026-11-16
SLN,Silence Therapeutics Plc - American Depository Share,13.02,USD,94.32835820895521,86,-11.728813559322038,-2.1788129226145823,5.364987930656188,685914,1509936.4,0.9890746896929822,801390340,USD,-100,-97.28996424812001,Commercial services,Miscellaneous commercial services,2026-11-17
ATRC,"AtriCure, Inc.",54.54,USD,91.60372387142104,83.88401888064733,28.814359943316,2.983383685800601,3.5971632877574122,1098948,842625.2666666667,1.09322300974258,2774247673.483006,USD,12.828799976494611,13.936705164157729,Health technology,Medical specialties,2026-11-04
CHYM,"Chime Financial, Inc.",33,USD,90.86176980913824,52.495378927911275,4.2654028436019,1.0101010101010048,3.7659740259739447,8563995,9052393.133333333,1.2510987111761995,12493307448.484848,USD,10.605790483639382,17.506383731807418,Technology services,Packaged software,2026-11-11
ASST,"Strive, Inc.",27.62,USD,88.27539195637355,195.08547008547012,114.77449455676519,2.6765799256505667,7.87097858694522,8934950,7585631.733333333,0.7902530676009163,2575912057.107807,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
ANGX,"Angel Studios, Inc.",5.45,USD,87.93103448275863,31.32530120481927,41.92708333333334,1.301115241635693,5.084272608125747,2351127,1558613.3333333333,1.7876278957380343,1017822001.133829,USD,27.45792468711368,,Consumer services,Movies/Entertainment,2026-11-12
CRDL,Cardiol Therapeutics Inc.,1.995,USD,86.44859813084112,88.20754716981132,32.11920529801325,0.7575757575757638,7.927318295739282,1243440,1505464.3666666667,0.7947975862555192,233061225.28158846,USD,,,Health technology,Biotechnology,2026-11-12
AMPL,"Amplitude, Inc.",12.59,USD,85.9675036927622,70.59620596205963,1.3687600644122377,1.0433386837881138,4.547543401792828,1494974,2077356.7333333334,0.8123648095484901,1572687751.589085,USD,21.155278011288576,18.257515691582615,Technology services,Packaged software,2026-11-10
VSTM,"Verastem, Inc.",7.32,USD,85.78680203045687,24.489795918367353,4.422253922967197,-3.937007874015746,5.628317720530867,1913863,2134174.9333333317,0.7530469105475193,662924358.8976378,USD,1775.4328497894246,3995.7416939635004,Health technology,Biotechnology,2026-11-11
ENSC,"Ensysce Biosciences, Inc.",0.4869,USD,84.64163822525597,8.950548221078536,13.232558139534884,-5.621244427214581,8.895197019041756,562946,29278237.8,0.7749448814041768,9473513.91917038,USD,-15.102614919522427,-39.291573112668644,Health technology,Biotechnology,2026-11-16
BRR,"ProCap Financial, Inc.",3.12,USD,82.45614035087719,13.868613138686126,77.27272727272727,4.697986577181212,6.227106227106216,1856337,943406.6333333333,1.3150517183387225,275713077.66442955,USD,,,Technology services,Internet software/Services,
RNG,"RingCentral, Inc.",68.92,USD,82.08718626155878,76.17586912065441,10.803858520900318,-0.17381228273465316,3.941339855733323,1044158,1558713.6,0.7195876862719586,5755244876.227114,USD,5.901534176448022,5.219097694332156,Technology services,Packaged software,2026-11-09
OMER,Omeros Corporation,18.28,USD,81.89054726368158,58.131487889273366,35.40740740740742,-1.6675632060247376,4.370389184119998,1014308,2043967.3333333333,0.7535271112726336,1323258377.697687,USD,,,Health technology,Pharmaceuticals: major,2026-11-11
QMCO,Quantum Corporation,23.58,USD,79.99999999999999,331.86813186813185,17.313432835820876,2.388189318280491,7.2830788804070945,786221,1949143.1666666667,0.8079317417647011,929287824.5731653,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
BFRI,Biofrontera Inc.,1.55,USD,77.75229357798166,80.54746651135702,27.049180327868857,6.164383561643842,6.953917050691236,1456056,642239.1,2.0146875590217794,23021158.42465754,USD,32.923588039867106,17.826430886218073,Health technology,Pharmaceuticals: major,2026-11-18
PCLA,PicoCELA Inc.,10.11,USD,76.13240418118465,337.6623376623376,44.42857142857142,4.012345679012333,11.468136215910757,6038740,822145.9333333333,8.64304504767548,93446185,USD,,,Electronic technology,Computer communications,
GPRO,"GoPro, Inc.",1.38,USD,74.68354430379745,85.40910923014913,121.15384615384615,-1.42857142857143,17.285973084886123,28196221,61905699.333333336,0.1657781607588847,258256964.44285715,USD,-31.25528193235196,-23.856114183019052,Consumer durables,Electronics/Appliances,2026-11-05
DFDV,DeFi Development Corp.,5.08,USD,73.97260273972603,15.323496027241767,76.3888888888889,-1.7408123791102486,10.532199100112495,1794882,1537023.899999998,0.7744883423858774,165713607.99226305,USD,66.86807653575025,328.633672297898,Finance,Financial conglomerates,2026-11-18
OABI,"OmniAb, Inc.",4.07,USD,73.93162393162396,113.0890052356021,20.058997050147497,3.0379746835443067,7.853632853632853,1315827,2077116.9,0.7482370474141571,591738919.756962,USD,244.23915832691816,67.00829461067443,Commercial services,Miscellaneous commercial services,2026-11-17
WIX,Wix.com Ltd.,76.58,USD,71.85816876122081,-12.33974358974359,17.202326293235377,1.4036016949152572,6.166930940566264,663278,1725050.0666666667,0.4064257721089657,3204835347.8286552,USD,14.926213948755821,14.1800034141044,Technology services,Packaged software,2026-11-05
PSNL,"Personalis, Inc.",16.21,USD,71.17212249208025,143.3933933933934,15.538132573057744,-0.7348438456827768,3.9006345289503863,1407019,3333201.2,0.4809632562365684,1731225939.2553587,USD,29.959890716735455,-13.2574672858797,Health services,Medical/Nursing services,2026-11-10
PRCH,"Porch Group, Inc.",16.45,USD,70.8203530633437,129.42817294281727,1.2931034482758674,0.9821976672805411,4.1141120277898775,925434,1433589.7666666666,0.7164371143214806,1867401413.8459177,USD,11.74282382988174,15.79197476589815,Finance,Property/Casualty insurance,2026-11-10
