Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
INSP,"Inspire Medical Systems, Inc.",74.32,USD,79.9951562121579,34.931009440813355,27.89537084839097,1.8082191780821826,4.113072812547754,1172062,696637.7,1.6799512438578241,2148619113.777534,USD,-7.602977621772017,4.345695868628325,Health technology,Medical specialties,2026-11-09
CELU,Celularity Inc.,1.4,USD,79.48717948717946,13.442994895065224,98.98206460947637,-0.7092198581560291,25.954081632653086,204955,8176077,0.09250795472271489,40524344.397163115,USD,-77.36598279285242,-51.03282921431206,Commercial services,Miscellaneous commercial services,2026-11-13
GPRO,"GoPro, Inc.",1.35,USD,79.47354427014093,88.0222841225627,110.9704641350211,-2.173913043478247,18.119841269841274,20460936,62455724.2,0.11882334981982996,252642686.08695653,USD,-31.25528193235196,-23.856114183019052,Consumer durables,Electronics/Appliances,2026-11-05
NEO,"NeoGenomics, Inc.",18.41,USD,78.91156462585036,125.61274509803921,12.3931623931624,6.293302540415703,4.723481027391916,1501151,1721524.7333333334,1.032904220052386,2365232685.8579674,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
ENSC,"Ensysce Biosciences, Inc.",0.4814,USD,78.3623564283068,1.347368421052635,41.96402241226776,-1.1295953994660106,9.177844382455929,418529,29282890.5,0.5768835286009742,9366500.632984186,USD,-15.102614919522427,-39.291573112668644,Health technology,Biotechnology,2026-11-16
ASST,"Strive, Inc.",29.03,USD,76.25986642380087,173.09501411100655,131.49920255183414,5.1049963794351925,7.545913094827945,9749778,7798981.7,0.8977605943203645,2707412395.11803,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
GTLB,GitLab Inc.,49.25,USD,74.7693399574166,118.40354767184036,12.674445207046439,4.809533943392206,4.514343727338713,3353310,5450171.766666667,0.4211546427561027,8205789043.466694,USD,21.31462959823699,22.987433955710536,Technology services,Packaged software,2026-12-07
CLMT,"Calumet, Inc",56.55,USD,72.19853836784407,97.5200838281523,15.715162676488644,-0.44014084507042256,4.03393962359483,1312101,1274800.0333333334,1.002172683669906,4970644924.420774,USD,40.76563413208652,12.799724842767295,Energy minerals,Oil refining/Marketing,2026-11-06
GTEC,Greenland Technologies Holding Corporation,1.08,USD,71.42857142857144,44.00000000000001,42.10526315789475,2.8571428571428594,7.746369047619077,173224,804144.9666666667,1.0211463550361715,28667758.62857143,USD,37.55811406244979,25.871164086392888,Producer manufacturing,Industrial machinery,2026-11-05
ANGX,"Angel Studios, Inc.",5.48,USD,71.25,58.84057971014493,27.14617169373552,0.5504587155963349,5.037799791449336,2339504,1608472.4,1.5903618323601747,1023424633.6,USD,27.45792468711368,,Consumer services,Movies/Entertainment,2026-11-12
CVI,CVR Energy Inc.,48.63,USD,70.63157894736842,60.4950495049505,35.76214405360135,-2.0741039065646274,4.857216297993575,1670714,1029941.5333333333,1.367161493094448,4888803135.776279,USD,55.47984099943214,17.879504661193824,Energy minerals,Oil refining/Marketing,2026-11-02
DK,"Delek US Holdings, Inc.",74.47,USD,69.25,71.94643269452781,8.842443729903533,-2.141918528252294,5.492930998100857,2122120,1731408,1.0122509303524405,4559959900.509068,USD,47.83332127613398,11.40114205458947,Energy minerals,Oil refining/Marketing,2026-11-11
SGMT,Sagimet Biosciences Inc. - Series A,10.88,USD,68.94409937888199,110.44487427466153,15.498938428874744,0,4.6408876050420185,516688,1279425.8333333333,0.525056027939686,670111825.9999999,USD,,,Health technology,Pharmaceuticals: major,2026-11-12
EMBC,Embecta Corp.,5.24,USD,67.41214057507989,-40.25085518814139,1.5503875968992262,6.072874493927122,5.091057797164122,908747,1643665.8666666667,0.5982180514793759,296896304,USD,-8.054145516074449,-7.600907029478458,Health technology,Medical specialties,2026-12-01
PSNL,"Personalis, Inc.",16.29,USD,66.73490276356193,132.7142857142857,15.45003543586109,0.49352251696482596,3.754319038849417,1690052,3298051.3333333335,0.6571633657860948,1739769838.3843303,USD,29.959890716735455,-13.2574672858797,Health services,Medical/Nursing services,2026-11-10
QMCO,Quantum Corporation,22.825,USD,66.12081513828238,318.80733944954125,-7.5162074554295,-3.201865988125526,7.805883273353155,961160,1934274.4333333333,0.9971963837573063,899533243.2241306,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
PD,"PagerDuty, Inc.",14.84,USD,65.25612472160356,118.87905604719762,19.58098307816277,5.322924059616749,3.8228244127838122,2079362,1464251.2,1.0770447039733027,1167164110.5067425,USD,0.8305580539822219,2.300416866553076,Technology services,Packaged software,2026-11-26
PAYC,"Paycom Software, Inc.",222.85,USD,65.23318751390227,79.71774193548387,-0.7835804282979472,1.7998264126810093,3.138280073079273,854920,848954.5666666667,1.2558154839058429,9868975288.524508,USD,9.842845326716306,9.22863875205756,Technology services,Packaged software,2026-11-03
VEEV,Veeva Systems Inc.,265.67,USD,63.99382716049384,44.511531766753706,5.508339952343131,1.2461890243902587,3.344323516284694,1361766,1830122.9,0.8446363693201159,43014321583.547714,USD,17.600474476004365,16.504217851996668,Technology services,Packaged software,2026-12-09
ODD,ODDITY Tech Ltd.,18.82,USD,62.381363244176015,33.380581148121905,42.792109256449166,2.954048140043759,7.63116745103979,1504208,1339054.2333333334,0.6421035134341154,868064116.4518598,USD,-25.14016753753007,-9.67860781481511,Technology services,Packaged software,2026-11-11
BSIN,Big Sky Industrial Inc.,1.65,USD,61.76470588235293,59.42028985507247,22.222222222222207,5.095541401273875,4.916870129870131,1065245,1111979,1.4530291212818853,86614164.64968151,USD,5.226824457593689,-48.74281877191674,Energy minerals,Oil & gas production,2026-11-17
PCLA,PicoCELA Inc.,7.73,USD,61.377870563674335,233.1896551724138,19.10631741140216,-23.54104846686448,15.252263906856486,263160,828810.3,0.2026438258316513,97195563,USD,,,Electronic technology,Computer communications,
DINO,HF Sinclair Corporation,106.91,USD,61.03328814580508,81.57269021739128,15.105512489233421,-0.8623887240356146,3.6231944091826187,3033431,2538129.966666667,1.242556371192452,19006870115.702427,USD,53.15448113207547,16.25539972603217,Energy minerals,Oil refining/Marketing,2026-10-29
IOND,Ionic Digital Inc.,79.86,USD,59.72,59.72,23.986958546809507,-4.233121477395373,5.794434903939067,462572,747366.5,0.8993836729622798,3593394722.9636645,USD,,,Technology services,Data processing services,2026-12-02
YEXT,"Yext, Inc.",6.48,USD,59.60591133004929,17.818181818181827,5.194805194805199,1.250000000000001,6.167328042328043,1028526,955394.7,0.7157297130549627,641382026.625,USD,-1.7604824305445028,-1.4753467643114642,Technology services,Data processing services,2026-12-09
OKTA,"Okta, Inc.",186.45,USD,59.372595948371654,139.93051087376142,19.381482904341134,11.981981981981974,5.039807684940502,6601187,3657709.3,1.827187199589012,32595329816.22252,USD,10.576923076923077,11.219688744118711,Technology services,Packaged software,2026-12-08
ZETA,Zeta Global Holdings Corp.,31.01,USD,58.9848756729044,75.09881422924902,3.955749245725791,2.750165672630888,4.42626802413966,4289975,8806119.466666667,0.5424934908937511,7783931624.00232,USD,43.5491923927351,35.90911804427817,Technology services,Packaged software,2026-11-10
CRM,"Salesforce, Inc.",259.43,USD,58.13599097863521,34.1416752843847,27.955610357583236,4.727111254642341,3.7107972973717187,12961926,14932938.133333333,0.7928752976327234,213510891052.50748,USD,10.83431027745213,11.229811148802591,Technology services,Packaged software,2026-12-08
DOCU,"DocuSign, Inc.",69.76,USD,57.935250169798515,50.93033318909564,7.405696689761358,6.26047220106626,3.740057749017125,3002525,3206834.2,0.7647348728933353,13038315254.690023,USD,9.381291872960997,8.587977755105864,Technology services,Packaged software,2026-12-03
SBET,"Sharplink, Inc.",9.15,USD,57.21649484536082,12.962962962962973,45.933014354067,3.0405405405405355,5.751990632318358,9211654,8504967.600000024,1.1281926973576408,1987595986.3682432,USD,1553.9454806287429,1496.6773245449936,Commercial services,Advertising/Marketing services,2026-11-12
VLO,Valero Energy Corporation,382.95,USD,56.98532426006395,60.02256487401278,11.673276565962897,-1.913324112494244,3.011219293827969,4815892,2685476.366666672,1.6880951952810093,110261824490.93935,USD,49.03968413303888,12.921579878930906,Energy minerals,Oil refining/Marketing,2026-10-22
LFST,"LifeStance Health Group, Inc.",13.38,USD,56.217162872154134,105.21472392638039,8.957654723127048,3.1611410948342336,3.200886184070063,5241016,4702095.6,1.054337546714293,5111904073.457209,USD,26.075914175916783,20.383932037101886,Health services,Medical/Nursing services,2026-11-05
WK,Workiva Inc.,75.89,USD,55.831622176591374,24.267234321270674,2.3880194279546627,5.608126913442807,3.2876531822374364,1121069,843143.3666666667,1.2707109740051887,4129667290.4991655,USD,18.63634885006994,19.66846638751786,Technology services,Information technology services,2026-11-04
HNST,"The Honest Company, Inc.",5.55,USD,55.46218487394958,101.81818181818181,10.557768924302795,2.5878003696857608,5.11724581724577,1659178,3048978.2333333334,0.738880287604237,595428323.5674676,USD,-10.866797205191581,-12.256306714248698,Retail trade,Specialty stores,2026-11-11
DFDV,DeFi Development Corp.,5.22,USD,54.43786982248521,8.074534161490677,74.58193979933108,2.7559055118110174,10.400656814449919,2153711,1589612.499999998,0.9997449704780345,170280513.31889763,USD,66.86807653575025,328.633672297898,Finance,Financial conglomerates,2026-11-18
ANF,Abercrombie & Fitch Company,140.62,USD,53.347873500545255,63.64482718491795,28.749313312580117,-3.1742752874750297,5.263470955157759,1362853,1997765.3333333333,0.7568257160576756,5967122280.8944435,USD,4.80977361488052,4.729188898131165,Retail trade,Apparel/Footwear retail,2026-11-24
VAI,Valor Energy Incorporated,2.02,USD,53.03030303030303,32.61554621848739,27.0440251572327,1.0000000000000009,12.204985855728399,32220,1307939.1666666667,0.507563835367842,29406128.79,USD,-15.620601452442532,-41.17742707916221,Finance,Finance/Rental/Leasing,
IRD,"Opus Genetics, Inc.",5.97,USD,52.6854219948849,25.420168067226893,59.62566844919784,-1.1589403973509982,8.86886815027518,2543865,3337206.1333333333,0.31128217311449996,496679064.3774834,USD,-73.8029146426093,-36.087153881071266,Health technology,Pharmaceuticals: major,2026-11-17
TASK,"TaskUs, Inc.",8.24,USD,52.59259259259259,-21.598477640342526,12.56830601092896,1.228501228501224,4.1734570041610315,412829,619383.3,0.9261426222263102,755501088.5307126,USD,5.0220003672395155,11.378028353147855,Commercial services,Miscellaneous commercial services,2026-11-09
BMNR,"BitMine Immersion Technologies, Inc.",25.76,USD,51.707891637220264,14.846188140882754,43.111111111111114,2.9165001997602893,6.324991126885498,43898212,39780125.1,1.0398484768675185,15539111959.025167,USD,2167.94557320515,1022.299586706758,Finance,Financial conglomerates,2026-11-20
HTFL,"Heartflow, Inc.",49.54,USD,51.03658536585367,128.71652816251154,26.83051715309779,-0.6816359262229419,4.851375511851903,1619526,2050169.2,0.8508034618292984,4307682849.666399,USD,47.572770817980825,,Technology services,Packaged software,2026-11-18
ALEC,"Alector, Inc.",2.21,USD,50.34013605442177,0.9132420091324209,8.33333333333333,3.2710280373831697,9.47220426632196,2467753,1666379.6,1.4956200250353548,246761807.86448595,USD,-57.83591567183134,-82.9126093923333,Health technology,Biotechnology,2026-11-10
SPSC,"SPS Commerce, Inc.",83.03,USD,50.036140224069385,39.35884525008393,3.296840009952732,0.4233188195452277,4.173009755510003,718966,567611.5,1.2123976643293886,2989094580.461659,USD,5.557630736392743,9.800409925775575,Technology services,Packaged software,2026-10-22
ANDG,Andersen Group Inc.,56.4,USD,48.930551888038025,115.1029748283753,14.031540638900116,5.125815470643056,3.4080547112462543,330719,508597.3333333333,0.8986179685553406,6372548933.748368,USD,23.67564250444625,17.95046028477456,Consumer services,Other consumer services,2026-12-02
