Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
UAL,"United Airlines Holdings, Inc.",113.99,USD,24.85213581599124,-3.7571766295170574,2.5182120694307017,3.155126389532898,3408045,3582870.433333333,0.7902299833365235,36999304840.05199,USD,15.988448411656602,8.476037732595238,Transportation,2026-10-20
M,Macy's Inc,22.64,USD,23.986856516976992,0.2657218777679463,1.479157328552227,4.057546693589217,4769629,6343593.466666667,0.6954363100726009,5913038891.732856,USD,1.2002400480096018,0.3435820632543388,Retail trade,2026-11-12
BGC,"BGC Group, Inc.",11.84,USD,23.784631468897025,0.2540220152413155,-2.7115858668857853,3.085967664092712,3736435,3430922.6,0.8496734106947921,5629523428.10189,USD,8.127421426780149,27.754642774109684,Finance,2026-11-04
STRL,"Sterling Infrastructure, Inc.",512.29,USD,23.167359892289557,5.509329818346572,-0.27836175348440073,4.141402888430972,368433,556045.7,0.6144828849155296,15670191065.550804,USD,90.1122597108393,60.82789871426025,Industrial services,2026-11-09
IT,"Gartner, Inc.",187.9,USD,22.092267706302792,-1.5405575351079426,4.784742360026775,4.278491598874614,1066872,1179964,0.9231318743503989,11865692956.811289,USD,-0.6232604031891767,0.6801568226741785,Technology services,2026-11-03
NXPI,NXP Semiconductors N.V.,238.08,USD,21.48178385549547,5.931034482758626,3.44108446298228,3.1013194844468797,2610968,3348814.566666667,0.6568513110658765,60035246384.717415,USD,19.480519480246446,8.76918000364755,Electronic technology,2026-10-27
COHR,Coherent Corp.,295.83,USD,21.336286452565513,3.3539461272403193,1.7962217404769176,5.830414185753456,4616830,6411469.233333333,0.6445390420551873,57933050080.71167,USD,33.74525957891984,22.513790259994742,Electronic technology,2026-11-11
RDNT,"RadNet, Inc.",70.79,USD,21.070634513425702,-8.017151767151752,-0.7292104894124191,3.742215405727308,580358,705696.0666666667,0.6228209348227172,5571014348.4023285,USD,24.98645204022239,18.92474966874088,Health services,2026-11-11
PACB,"Pacific Biosciences of California, Inc.",1.62,USD,20.895522388059703,6.578947368421058,2.531645569620255,5.276455026455017,11002207,6325547.5,1.806870138882833,503545828.32911396,USD,-1.9086656943117237,2.024854269425405,Health technology,2026-11-11
EBAY,eBay Inc.,107.9,USD,20.7745690620103,2.0620506999621706,0.06491699897988258,3.281689394942349,2837591,4969507.7666667085,0.4710242479324377,48015500815.529076,USD,14.36907366885485,15.17891130567187,Retail trade,2026-11-04
IOT,Samsara Inc.,37.96,USD,20.737913486005088,-0.28894142369319525,-3.458799593082399,5.231917055547094,4923592,6832942.2,0.8014070905761578,22229573742.444557,USD,29.875600286093796,29.50418291994799,Technology services,2026-11-26
GDDY,GoDaddy Inc.,97.14,USD,20.089009766349363,1.0611735330836412,-3.640511853982741,5.6128489073205206,2675422,2343508.6,0.7779435481185997,12302557773.60976,USD,6.500123264031556,7.496157166621044,Technology services,2026-10-29
