Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
BRR,"ProCap Financial, Inc.",3.76,USD,34.767025089605724,97.89473684210527,9.302325581395344,6.202507598784197,13498556,1675114.1666666667,6.412127989695415,332269609.65116286,USD,,,Technology services,
SECZ,Securitize Corp.,10.86,USD,-0.549450549450554,86.2778730703259,21.612541993281074,7.020586687713938,21238379,2778632.466666667,9.67723855051788,1773065410.7905936,USD,,,Technology services,2026-11-13
GEMI,"Gemini Space Station, Inc.",5.81,USD,-3.166666666666673,63.66197183098591,31.15124153498871,7.253749692648187,15255371,3052291.7333333334,7.45989566180086,753279261.0158014,USD,-47.65785157851579,28.467710511876454,Finance,2026-11-16
BTGO,"BitGo Holdings, Inc.",7.56,USD,-23.170731707317078,38.20840950639854,11.834319526627217,7.668083900226782,11895082,2251857.2666666666,5.907279933612465,888644925,USD,2201.890153126329,,Technology services,2026-12-02
PROK,ProKidney Corp.,1.91,USD,-3.5353535353535386,34.50704225352113,6.111111111111104,6.254300673148845,9449347,1531006.1333333333,7.326389400393217,577436255.1333332,USD,-32.126696832579185,55.21821631878557,Health technology,2026-11-16
CNTN,"Canton Strategic Holdings, Inc.",2.3,USD,-29.447852760736197,12.195121951219512,9.523809523809511,6.243167701863371,3880092,733755.566666666,6.0403821104937165,183267115.95238093,USD,,,Technology services,2026-12-02
