Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
MXL,"MaxLinear, Inc",84.32,USD,399.230313795145,31.91489361702126,-3.5571314194212666,5.922743290864719,2091672,2506167.066666667,0.6721263970580155,7647249293.088412,USD,55.17171661474273,50.50460960543893,Electronic technology,2026-10-28
APPS,"Digital Turbine, Inc.",11.54,USD,292.5170068027211,8.052434456928834,-5.332239540607058,6.930799702896833,2582736,2670620.7666666666,0.9643706474265699,1396527483.819524,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
BAND,Bandwidth Inc.,59.13,USD,247.8235294117647,26.265214606021793,1.2500000000000069,7.873088352540393,1280513,858989.5666666667,1.1552174249585414,1902849999.3,USD,22.156177609394877,9.251740521774,Technology services,2026-10-29
ALAB,"Astera Labs, Inc.",360.46,USD,224.7387387387387,32.67326732673267,-0.8254003191547902,5.675953741647599,3308953,3847803.4,0.7412522313767589,62534440350.97139,USD,104.45486518171161,98.48418542512663,Electronic technology,2026-11-10
OTLK,"Outlook Therapeutics, Inc.",0.6617,USD,213.1566493137719,6.33135143821308,-4.955472565354795,6.527558885122719,2931065,16141298.300000003,0.7718156857592235,161089240.68902612,USD,,,Health technology,2026-12-18
PENG,"Penguin Solutions, Inc.",53.88,USD,209.65517241379314,6.314127861089193,-4.772004241781541,4.45601336302894,1519382,1478946.7333333334,1.097135556985942,2760956694.0933194,USD,47.636553164052984,11.973368504204736,Electronic technology,2026-10-06
SNDK,Sandisk Corporation,1816.57,USD,202.88786994581076,21.583706470159093,-3.734420044090217,5.253473775930949,7715083,12186440.8,0.7623504056584428,265980379867.08237,USD,371.5938979484482,175.29571719918422,Electronic technology,2026-11-05
MU,"Micron Technology, Inc.",1071.88,USD,197.8602789973879,14.666552557821108,-2.2150051087432465,3.5112199393322157,21531850,26661826.233333334,0.8449508938918329,1210573877766.617,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
AEHR,Aehr Test Systems,97.38,USD,183.74125874125872,1.6917293233082604,-3.2007952286282295,7.252446234193019,2561780,2724897.3333333335,0.9578555235395448,3180386531.787674,USD,33.685854212506214,-15.206552706552706,Electronic technology,2026-10-06
PANW,"Palo Alto Networks, Inc.",393.3,USD,166.55371060657404,10.458911419423695,5.000400459193213,4.22604700156185,6277054,6498333.633333341,0.8826325368148238,321719406290.574,USD,34.447817687182116,24.491677059046793,Technology services,2026-11-12
MRVL,"Marvell Technology, Inc.",260.9,USD,164.1222919619356,13.820783526742858,-0.5564872694008371,4.135377539287037,13659567,22628378.7,0.7130328299543041,228783203595.83774,USD,36.54852699267235,30.621017567623603,Electronic technology,2026-11-26
XMTR,"Xometry, Inc.",105.01,USD,161.54420921544215,23.934851882450136,-0.11414439265670157,4.091891520535486,1223973,647840.6,1.2930454173205987,6019548326.325027,USD,41.054587288599606,33.74988820097985,Technology services,2026-11-05
OSCR,"Oscar Health, Inc.",30.53,USD,160.27280477408354,-5.097917314267953,-0.4564721225953719,6.1590239109072575,5525190,5422820.833333333,0.8652435265136187,8349008411.725791,USD,70.40201540183209,42.81608289889565,Health services,2026-11-10
BB,BlackBerry Limited,8.38,USD,157.84615384615387,5.674653215636836,-2.784222737819008,4.076457551994448,24938232,10789803.500000007,2.0616126444112615,4911521840.833334,USD,22.202604719147903,3.6504655882381214,Technology services,2026-09-24
SIMO,Silicon Motion Technology Corporation,276.53,USD,155.45496535796764,10.61199999999999,-2.3759090588152296,6.052714507854994,557946,888845.3333333334,0.640877393228165,9604709596,USD,122.89450360168794,69.55933666350374,Electronic technology,2026-11-04
CLOV,"Clover Health Investments, Corp.",4.57,USD,155.3072625698324,10.120481927710841,-2.141327623126331,4.901375429821702,3336686,3997718.8666666667,0.6439601459041835,2427388449.01499,USD,55.60415493267392,54.03893900418447,Finance,2026-11-09
