Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
MXL,"MaxLinear, Inc",84.32,USD,399.230313795145,31.91489361702126,-3.5571314194212666,5.922743290864719,2064871,2505273.7,0.663514310857334,7647249293.088412,USD,55.17171661474273,50.50460960543893,Electronic technology,2026-10-28
APPS,"Digital Turbine, Inc.",11.54,USD,292.5170068027211,8.052434456928834,-5.332239540607058,6.930799702896833,2577906,2670459.7666666666,0.9625671683922936,1396527483.819524,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
BAND,Bandwidth Inc.,59.13,USD,247.8235294117647,26.265214606021793,1.2500000000000069,7.873088352540393,1280381,858985.1666666666,1.1550983408882551,1902849999.3,USD,22.156177609394877,9.251740521774,Technology services,2026-10-29
ALAB,"Astera Labs, Inc.",360.46,USD,224.7387387387387,32.67326732673267,-0.8254003191547902,5.675953741647599,3300146,3847509.8333333335,0.7392793389235462,62534440350.97139,USD,104.45486518171161,98.48418542512663,Electronic technology,2026-11-10
OTLK,"Outlook Therapeutics, Inc.",0.6617,USD,213.1566493137719,6.33135143821308,-4.955472565354795,6.527558885122719,2904576,16140415.333333336,0.7648405331440219,161089240.68902612,USD,,,Health technology,2026-12-18
PENG,"Penguin Solutions, Inc.",53.88,USD,209.65517241379314,6.314127861089193,-4.772004241781541,4.45601336302894,1516909,1478864.3,1.0953498202637575,2760956694.0933194,USD,47.636553164052984,11.973368504204736,Electronic technology,2026-10-06
SNDK,Sandisk Corporation,1816.57,USD,202.88786994581076,21.583706470159093,-3.734420044090217,5.253473775930949,7650160,12184276.7,0.7559351700237046,265980379867.08237,USD,371.5938979484482,175.29571719918422,Electronic technology,2026-11-05
MU,"Micron Technology, Inc.",1071.88,USD,197.8602789973879,14.666552557821108,-2.2150051087432465,3.5112199393322157,21315386,26654610.766666666,0.8364564333463896,1210573877766.617,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
AEHR,Aehr Test Systems,97.38,USD,183.74125874125872,1.6917293233082604,-3.2007952286282295,7.252446234193019,2554715,2724661.8333333335,0.9552139035433677,3180386531.787674,USD,33.685854212506214,-15.206552706552706,Electronic technology,2026-10-06
PANW,"Palo Alto Networks, Inc.",393.3,USD,166.55371060657404,10.458911419423695,5.000400459193213,4.22604700156185,6141613,6493818.933333341,0.863587833133967,321719406290.574,USD,34.447817687182116,24.491677059046793,Technology services,2026-11-12
